UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Playoff SZN,@apphorny,2021-05-14T01:56:00.000Z,That feeling when you get caught twice in one day,,,,,,['https://pbs.twimg.com/media/E1UCWwDX0AQVCnq?format=jpg&name=small'],https://twitter.com/apphorny/status/1393022252585783298
Playoff SZN,@apphorny,2021-05-14T01:29:04.000Z,Go to horny jail sir.,,,,,,['https://pbs.twimg.com/media/E1T8JjqWYAAt814?format=jpg&name=small'],https://twitter.com/apphorny/status/1393015474611445785
Playoff SZN,@apphorny,2021-05-25T16:06:21.000Z,"Replying to 
@JuIienTheeBltch",Bozo moment,,,,,[],https://twitter.com/apphorny/status/1397222517169864715
Playoff SZN,@apphorny,2021-05-25T16:04:17.000Z,"Replying to 
@JuIienTheeBltch
 @ihave40winsYT
 and 2 others",Bruh thats a whole mlb player you bozo,,,,1,[],https://twitter.com/apphorny/status/1397221994937077761
Playoff SZN,@apphorny,2021-05-25T16:05:55.000Z,"Replying to 
@JuIienTheeBltch
 @FlexxMicah
 and 2 others",Just hold this Ratio you loser,,,,,[],https://twitter.com/apphorny/status/1397222407644057604
IndyCar on NBC,@IndyCaronNBC,2021-06-13T15:07:35.000Z,"It's 
@JosefNewgarden
 on pole for the first time this season and in nearly a year in 
@IndyCar
 for Race 2 of the Detroit Grand Prix at noon ET on NBC. What Newgarden and 
@Oliver_Askew
 had to say about qualifying Sunday.","IndyCar Detroit starting lineup: Newgarden on Race 2 pole - NBC Sports
IndyCar Detroit starting lineup: Josef Newgarden will lead the field to green in the IndyCar Chevrolet Grand Prix Race 2.
motorsports.nbcsports.com",,10,15,80,['https://pbs.twimg.com/card_img/1430788825727578112/mTqcwsFS?format=jpg&name=small'],https://twitter.com/IndyCaronNBC/status/1404093097919893508
Playoff SZN,@apphorny,2021-06-13T16:21:18.000Z,WHERE IS PRERACE,,,,,,[],https://twitter.com/apphorny/status/1404111645752938497
Steve Hamilton,@StevieH_35,2021-06-13T16:02:22.000Z,"Replying to 
@IndyCaronNBC
 @josefnewgarden
 and 2 others",What channel is the race going to be on? Don't say Peacock.,,1,,,[],https://twitter.com/StevieH_35/status/1404106883749879808
Playoff SZN,@apphorny,2021-06-13T16:21:06.000Z,It's gonna be on NBC,,,,,,[],https://twitter.com/apphorny/status/1404111597795217415
Kurt,@Highspeedkurt,2021-06-13T15:46:15.000Z,"Replying to 
@IndyCaronNBC
 @josefnewgarden
 and 2 others",Yeah I'm leaving for church and wanna set the DVR. CNBC?,,1,,,[],https://twitter.com/Highspeedkurt/status/1404102826310184962
Playoff SZN,@apphorny,2021-06-13T16:21:26.000Z,Nope.,,,,,,[],https://twitter.com/apphorny/status/1404111681463140354
Playoff SZN,@apphorny,2021-06-13T16:19:30.000Z,"@IndyCaronNBC
 wheres prerace???",,,,,,[],https://twitter.com/apphorny/status/1404111194013769736
Playoff SZN,@apphorny,2021-08-11T01:51:42.000Z,Russian vibe time #WWENXT,,,,,,[],https://twitter.com/apphorny/status/1425273690225324038
Playoff SZN,@apphorny,2021-08-11T10:16:00.000Z,Get your account #Verified by Tweeting this!,"Get #Verified easily!
Tweet #Verified",,,,1,['https://pbs.twimg.com/ad_img/1375245562275115012/qr8Q5jH2?format=png&name=small'],https://twitter.com/apphorny/status/1425400601039486982
Playoff SZN,@apphorny,2021-08-11T19:28:15.000Z,GOALLLLLLLLLLLLLL,,,,,,[],https://twitter.com/apphorny/status/1425539577184391170
Playoff SZN,@apphorny,2021-08-12T18:18:22.000Z,CROSSOVER???,"NBC Sports PR
@NBCSportsPR
 · Aug 12
MOTORSPORTS PRESS: NBC Sports NASCAR & INDYCAR analysts Dale Earnhardt Jr., Jeff Burton, Steve Letarte, Townsend Bell & Paul Tracy will preview NASCAR-INDYCAR crossover weekend during a press event TOMORROW (Friday) at 1:30 pm ET at the Indianapolis Motor Speedway Media Center.",,,,,['https://pbs.twimg.com/profile_images/1171093611791998976/9roGJsOy_mini.jpg'],https://twitter.com/apphorny/status/1425884378756956166
Playoff SZN,@apphorny,2021-08-12T21:31:25.000Z,Weep,"Jonathan Hardison
@FOX6Hardison
 · Aug 12
NEW: Huntsville officially becomes Alabama's biggest city, new Census data finds it has 215,006 people (up 11% from 2010) compared to 200,733 (-1.5%) from 2010
But in metro areas, Bham metro (1.1 million) still more than double Huntsville metro (491,000)
Show this thread",,,,,['https://pbs.twimg.com/profile_images/1337480572030083074/QMsxRLyF_mini.jpg'],https://twitter.com/apphorny/status/1425932961585766404
Playoff SZN,@apphorny,2021-08-12T21:29:37.000Z,Bruh there is gonna be a baseball game in the middle of nowhere,,,,,,[],https://twitter.com/apphorny/status/1425932510823948289
Playoff SZN,@apphorny,2021-08-12T20:31:40.000Z,Dream is overrated,,,2,2,6,[],https://twitter.com/apphorny/status/1425917927161798667
Playoff SZN,@apphorny,2021-08-12T00:23:31.000Z,I'm still on a high because of nascar 21 ignition and chelsea winning the super cup and I don't ever want it to end,,,,,,[],https://twitter.com/apphorny/status/1425613883490832385
Playoff SZN,@apphorny,2021-08-13T21:52:46.000Z,"Looks like a bee beat a gun. 
Epic W",,,,,,[],https://twitter.com/apphorny/status/1426300724086984709
Playoff SZN,@apphorny,2021-08-12T20:20:12.000Z,F in the chat,"Gatorade Slurping Lads
@GatoradeLads
 · Aug 12
Our PR teams flight got delayed so we not gonna make it to Martinsville for @ThePOGSeries Trucks tonight. Just watch the race on their channel or whatever",,,,1,['https://pbs.twimg.com/profile_images/1329525741135032320/1kPUUlIQ_mini.jpg'],https://twitter.com/apphorny/status/1425915038410346497
Goal,@goal,2021-08-11T01:51:57.000Z,"Six for Leon 

Absolute domination in the 
@LeaguesCup
 for the Mexican side ","From 
Leagues Cup",😱 👏,25,67,999,['https://pbs.twimg.com/ext_tw_video_thumb/1425273096106303488/pu/img/FA-lCN7_PYsTNLwo.jpg'],https://twitter.com/goal/status/1425273753487876098
Playoff SZN,@apphorny,2021-08-11T01:52:51.000Z,"@SportingKC
 YALL SELLING US",,,,,1,[],https://twitter.com/apphorny/status/1425273978722074624
World of Outlaws,@WorldofOutlaws,2021-08-12T21:24:51.000Z,"We’re getting a little wet, but it’ll be okay.","Jason Johnson Racing
@JJR41Updates
 · Aug 12
Raining currently @knoxvilleraces….",,2,2,48,"['https://pbs.twimg.com/profile_images/1130902268386185222/fuWAWHz__mini.jpg', 'https://pbs.twimg.com/media/E8nroRdXMAASatX?format=jpg&name=small']",https://twitter.com/WorldofOutlaws/status/1425931309596221446
Playoff SZN,@apphorny,2021-08-12T21:25:39.000Z,Mud race?,,,,,,[],https://twitter.com/apphorny/status/1425931509932961794
Playoff SZN,@apphorny,2021-08-12T17:00:12.000Z,"Replying to 
@IcyTaxi_",The hidden replies tho,,,,,['https://pbs.twimg.com/media/E8mwX-CWEAA_1-d?format=jpg&name=900x900'],https://twitter.com/apphorny/status/1425864707160875008
Playoff SZN,@apphorny,2021-08-11T19:28:31.000Z,FUCK YES,"Absolute Chelsea
@AbsoluteChelsea
 · Aug 11
GOOOOOOOOOOOOOOOOOOOOOOOAAAAAAAAAAAAAAAAAAAAALLLLLLLLLLLLLLLLLLLLLLLLLLLL!

HAKIM ZIYECH!

#CHEVIL | #CFC | @ChelseaFC
Show this thread",,,,,['https://pbs.twimg.com/profile_images/881074205219074048/WBUuUBiy_mini.jpg'],https://twitter.com/apphorny/status/1425539647996895232
Lu1Min,@Blaz3Gam3r77,2021-08-11T01:51:29.000Z,"Replying to 
@apphorny
 @Bernardo2407
 and 
@SportingKC",Imagine losing to a MLS team* that shits even more embarrassing,,2,,1,[],https://twitter.com/Blaz3Gam3r77/status/1425273636601032707
Playoff SZN,@apphorny,2021-08-11T01:52:11.000Z,Can't be Leon,,,1,,,[],https://twitter.com/apphorny/status/1425273812837445634
Playoff SZN,@apphorny,2021-08-12T22:17:56.000Z,"Replying to 
@LanceFor6
 and 
@charlidamelio",Big w,,,,,[],https://twitter.com/apphorny/status/1425944667967967235
whitesoxdave,@barstoolWSD,2021-08-11T01:58:33.000Z,Annoyed,,,14,2,86,[],https://twitter.com/barstoolWSD/status/1425275412624646145
Playoff SZN,@apphorny,2021-08-11T01:59:22.000Z,Win a ring lol,,,,,,[],https://twitter.com/apphorny/status/1425275619802329092
Chicago Cubs,@Cubs,2021-08-11T01:49:49.000Z,We are in a rain delay and aiming to resume baseball around 9:10 p.m. CDT.,,,60,72,707,['https://pbs.twimg.com/media/E8eWPRpXIAkAyhi?format=jpg&name=small'],https://twitter.com/Cubs/status/1425273217036570624
Playoff SZN,@apphorny,2021-08-11T01:51:11.000Z,Press x to doubt,,,,,,[],https://twitter.com/apphorny/status/1425273559216185353
Playoff SZN,@apphorny,2021-08-11T01:56:53.000Z,"Replying to 
@WWEonFOX",Not a real sport,,,,,[],https://twitter.com/apphorny/status/1425274995073327110
Sporting Kansas City,@SportingKC,2021-08-11T01:29:53.000Z,"Cam Duke with the roll in!

#SportingKC | #LeaguesCup",,,30,18,177,['https://pbs.twimg.com/amplify_video_thumb/1425267745311150081/img/_hivuQ8c9Rmg2TlS.jpg'],https://twitter.com/SportingKC/status/1425268197620658182
