UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
"Wear a Mask. Get Vaccinated, India",@cricketaakash,2021-01-21T17:28:12.000Z,Second issue—how come teams are allowed to retain both the replacement player and the player who he replaced? Mitch Marsh and Jason Holder. Kane Richardson and Zampa. One of them should make it to the auction table....once again...your thoughts? #IPL,,,177,247,9.7K,[],https://twitter.com/cricketaakash/status/1352307017646546946
Dhanush Surya,@dhanushsurya21,2021-01-21T17:29:46.000Z,Agreed,,,,,,[],https://twitter.com/dhanushsurya21/status/1352307413932654595
RailWire Official,@RailWireIndia,2021-01-25T08:09:24.000Z,"Replying to 
@dhanushsurya21","Hi, we regret the inconvenience caused. Request you to DM us your subscriber username for us to help get your issue resolved at the earliest. 

Thank you. 
Team Social – RailWire",,1,,,[],https://twitter.com/RailWireIndia/status/1353615944963092480
Dhanush Surya,@dhanushsurya21,2021-01-25T14:50:08.000Z,Dm done,,,1,,,[],https://twitter.com/dhanushsurya21/status/1353716792003235840
Dhanush Surya,@dhanushsurya21,2021-01-30T03:29:09.000Z,"@hotstar_helps
 when will you upload today's episode of cook with comali ?",,,,,,[],https://twitter.com/dhanushsurya21/status/1355357357232951300
Dhanush Surya,@dhanushsurya21,2021-01-25T03:37:22.000Z,"@RailTel
 No response from railtel what is this behaviour...scam railwire refund my money ",,😡,4,,1,"['https://pbs.twimg.com/media/EsjEOPcUwAEP8xe?format=jpg&name=small', 'https://pbs.twimg.com/media/EsjEPmvVoAEJ0uJ?format=jpg&name=small']",https://twitter.com/dhanushsurya21/status/1353547482496606214
RailWire Official,@RailWireIndia,2021-01-26T09:54:18.000Z,"Replying to 
@dhanushsurya21","Hi, thank you for providing your subscriber user name. We have forwarded your refund request to the concerned team, internally, for resolution and assistance.

We appreciate your patience with us in the interim. 

Thank you. 
Team Social - RailWire",,1,,,[],https://twitter.com/RailWireIndia/status/1354004730997923842
Dhanush Surya,@dhanushsurya21,2021-01-28T13:59:14.000Z,When will you refund ?,,,,,,[],https://twitter.com/dhanushsurya21/status/1354791147227422721
RailTel,@RailTel,2021-01-25T07:25:34.000Z,"Replying to 
@dhanushsurya21","@RailWireIndia
 look into this.",,2,,1,[],https://twitter.com/RailTel/status/1353604912362479617
Dhanush Surya,@dhanushsurya21,2021-01-29T15:38:45.000Z,5 days gone no refund till now ?  Worst customer care rail wire ,,😡 🤬,2,,,[],https://twitter.com/dhanushsurya21/status/1355178578728476672
Dhanush Surya,@dhanushsurya21,2021-01-26T06:05:24.000Z,"Replying to 
@RailTel
 and 
@RailWireIndia",No response till now??,,1,,,[],https://twitter.com/dhanushsurya21/status/1353947124220616704
Dhanush Surya,@dhanushsurya21,2021-01-30T04:48:30.000Z,"Replying to 
@NetflixIndia",Durai tamil lam pesudhu ?,😂,,,,[],https://twitter.com/dhanushsurya21/status/1355377323613118465
Dhanush Surya,@dhanushsurya21,2021-01-25T09:40:01.000Z,"Replying to 
@rajasthanroyals
 and 
@benstokes38",,🤣 🤮 🤢,,,,[],https://twitter.com/dhanushsurya21/status/1353638747368091648
Dhanush Surya,@dhanushsurya21,2021-02-16T05:37:09.000Z,34 Google thappu solladha russel Arnold sir..... favourite moment yesterday ashwins century #starikelungal,,,,,,[],https://twitter.com/dhanushsurya21/status/1361550160430424069
Michael Vaughan,@MichaelVaughan,2021-02-27T21:18:46.000Z,Sonja .. You are a class act .. Do not let the keyboard cowards affect the great job you continuously do .. !! But seriously when are social media companies going to demand everyone has to be verified so we at least know all people who are being abusive .. xx,"Sonja McLaughlan
@Sonjamclaughlan
 · Feb 27
Toxic, embarrassing, disgraceful, appalling. Just some of the feedback I’ve had. 

Thanks for using @ sign so it’s all hit home. 

Now imagine getting inundated with abuse for doing your job. 

In my car crying. Hope you’re happy",,48,24,790,['https://pbs.twimg.com/profile_images/1291336833054445568/j531f2LP_mini.jpg'],https://twitter.com/MichaelVaughan/status/1365773393027620867
Dhanush Surya,@dhanushsurya21,2021-02-28T05:02:06.000Z,Shut ur mouth  useless fellow,,😂,,,,['https://pbs.twimg.com/media/EvSdtjlVcAIxL4T?format=jpg&name=small'],https://twitter.com/dhanushsurya21/status/1365889995903442949
Mufaddal Vohra,@mufaddal_vohra,2021-02-03T05:14:32.000Z,"Dinesh Karthik said India have back to back T20 World Cups coming. He knows that if he do well in the IPL, he'll have a great chance at being part of the World Cup squad. (To TOI).",,,35,139,3.8K,[],https://twitter.com/mufaddal_vohra/status/1356833427316596737
Dhanush Surya,@dhanushsurya21,2021-02-03T05:15:45.000Z,Waste of time dk already more players are there in indian squad,,,,,,[],https://twitter.com/dhanushsurya21/status/1356833735006515202
Dhanush Surya,@dhanushsurya21,2021-02-17T10:01:59.000Z,"Replying to 
@sarcasmeister
 and 
@SriniMaama16",Delhi capitals odudhay runner up last yr,,,,,[],https://twitter.com/dhanushsurya21/status/1361979195295817729
Dhanush Surya,@dhanushsurya21,2021-02-25T14:27:14.000Z,"Replying to 
@prasannalara", nyc kelvi ,🤣 💯,,,2,[],https://twitter.com/dhanushsurya21/status/1364945052951273477
Dhanush Surya,@dhanushsurya21,2021-02-03T03:15:30.000Z,"Replying to 
@kappie777",,🔥,,,,[],https://twitter.com/dhanushsurya21/status/1356803473031925760
Dhanush Surya,@dhanushsurya21,2021-02-18T14:38:26.000Z,"Replying to 
@sambillings",Delhi capitals ,🔥,,,,[],https://twitter.com/dhanushsurya21/status/1362411154702753792
Dhanush Surya,@dhanushsurya21,2021-02-18T04:09:28.000Z,"Replying to 
@prasannalara
 and 
@ashwinravi99",Today live la sollunga csk ku Aaron finch dhan eduka poranga note panikonga prasanna sir ,💯,,,,[],https://twitter.com/dhanushsurya21/status/1362252871345967108
Dhanush Surya,@dhanushsurya21,2021-03-01T14:57:47.000Z,"Replying to 
@StarSportsIndia
 and 
@PunjabKingsIPL",Sharukh khan confirm,,,,,[],https://twitter.com/dhanushsurya21/status/1366402291977183236
Dhanush Surya,@dhanushsurya21,2021-02-18T14:46:11.000Z,"Replying to 
@DelhiCapitals
 @ChennaiIPL
 and 
@sambillings",Irukatum enna panalam,,,,,[],https://twitter.com/dhanushsurya21/status/1362413105439854593
Cricket SuperFans,@cricketrafi,2021-03-16T18:54:24.000Z,Natarajan is available for the next match. Varun Chakravarthy went back to the KKR camp.,,,1,,1,[],https://twitter.com/cricketrafi/status/1371897655010357248
Dhanush Surya,@dhanushsurya21,2021-03-17T08:23:08.000Z,Source ?,,,,,,[],https://twitter.com/dhanushsurya21/status/1372101180684435459
Dhanush Surya,@dhanushsurya21,2021-03-31T13:29:05.000Z,"Replying to 
@ittzz_spidey",Sachin baby in place of azharudeen,,,,,[],https://twitter.com/dhanushsurya21/status/1377251605158895616
LetsOTT GLOBAL,@LetsOTT,2021-03-25T16:47:17.000Z,Waiting for S2?,,,18,42,636,['https://pbs.twimg.com/media/ExVu3GnVcAQjbtv?format=jpg&name=small'],https://twitter.com/LetsOTT/status/1375127158620712966
