UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Convert Odds,@ConvertOdds,2021-01-08T20:30:39.000Z,"Done with Germany, let me take a flight straight to England..",,,2,2,6,[],https://twitter.com/ConvertOdds/status/1347641890372509696
GOODLIFE,@nobbycollection,2021-01-08T20:34:22.000Z,home is where the heart is,,,,,,[],https://twitter.com/nobbycollection/status/1347642826599899144
GOODLIFE,@nobbycollection,2021-02-02T06:58:29.000Z,"@MTN180
 what happening",,,,,,[],https://twitter.com/nobbycollection/status/1356497197941071872
GOODLIFE,@nobbycollection,2021-02-16T10:26:11.000Z,"Replying to 
@Elcrucifixio",Aside howo dont you have like mark or man diesel? Asking for someone,,,,1,[],https://twitter.com/nobbycollection/status/1361622900445499394
UG,@UgwunnaEjikem,2021-02-03T06:23:51.000Z,"Almost all the 'annoying' men on Twitter ironically have women, beautiful ones for that matter...

From Ferdy to Cross, from Kelvin to Brian, from Desh to Jack.

Twitter for ""which woman go gree date am""  perpetually in the mud.",,,109,760,2.3K,[],https://twitter.com/UgwunnaEjikem/status/1356850872081334272
GOODLIFE,@nobbycollection,2021-02-03T10:12:13.000Z,This just opposite you naw lol,,,,,,[],https://twitter.com/nobbycollection/status/1356908340115300352
Man of Letters.,@Letter_to_Jack,2021-02-13T19:41:37.000Z,"Tell me what to say, Adamasingba Mino Raiola.","Jake Maka
@Hitee_
 · Feb 13
Ronaldo dropped a 0/10 today , Mr Jack has kept mute 

Lwkm",,15,54,62,['https://pbs.twimg.com/profile_images/1410671009468923904/ZAK2FZr1_mini.jpg'],https://twitter.com/Letter_to_Jack/status/1360675516836118529
GOODLIFE,@nobbycollection,2021-02-13T19:57:42.000Z,All he was asking for was same energy,,,,,,[],https://twitter.com/nobbycollection/status/1360679562053566469
GOODLIFE,@nobbycollection,2021-02-18T09:27:51.000Z,"@hartng
 sir i can help you get your job out in less than a week",,,,,,[],https://twitter.com/nobbycollection/status/1362332993310912512
Man of Letters.,@Letter_to_Jack,2021-02-28T05:25:01.000Z,Please report this handle.,"30BG
@iloveDAVIDO14
 · Feb 28
Full grown ass woman, as in 30 years old oooo, common sense you no get. 

Na Sarz go later kill you werey twitter.com/fkabudu/status…",💀,2,6,4,['https://pbs.twimg.com/profile_images/1267193178832228353/l0Jrwc0m_mini.jpg'],https://twitter.com/Letter_to_Jack/status/1365895763834908674
GOODLIFE,@nobbycollection,2021-02-28T07:57:57.000Z,Done,,,,,,[],https://twitter.com/nobbycollection/status/1365934249359138821
BASH-AAR,@FaruqBashar,2021-02-28T07:53:57.000Z,"I launched my spot (Drinks ‘n’ Grills) yesterday just right beside Palms Mall, ilorin  

Pls Retweet and patronize us ",,🔞 😄 ❤,937,9.1K,20.1K,"['https://pbs.twimg.com/media/EvTFBJIXcAEv_qh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvTFBJUXcAEsvmO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvTFBJLXMAQ2oD3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvTFBJQXAAENMe_?format=jpg&name=360x360']",https://twitter.com/FaruqBashar/status/1365933242826838017
GOODLIFE,@nobbycollection,2021-02-28T08:15:54.000Z,When are you coming to lagos,,,,,,[],https://twitter.com/nobbycollection/status/1365938765454323713
GOODLIFE,@nobbycollection,2021-02-02T06:40:25.000Z,"@MTNNG
 @MTN180
 how can I load recharge card since yesterday and it has not reflect on my balance",,,1,,,[],https://twitter.com/nobbycollection/status/1356492653001641984
Kelvin Odanz,@MrOdanz,2021-02-03T06:26:22.000Z,"Please don't speak for me. I am broke, miserable, no woman wants me at all and that is why I am always angry going around the TL of women on Twitter quoting and attacking them. I know I need to do better.","UG
@UgwunnaEjikem
 · Feb 3
Almost all the 'annoying' men on Twitter ironically have women, beautiful ones for that matter...

From Ferdy to Cross, from Kelvin to Brian, from Desh to Jack.

Twitter for ""which woman go gree date am""  perpetually in the mud.
Show this thread",,21,141,493,['https://pbs.twimg.com/profile_images/1429499870600065026/ldacl6gr_mini.jpg'],https://twitter.com/MrOdanz/status/1356851505278689280
GOODLIFE,@nobbycollection,2021-02-03T10:12:57.000Z,This is just you in disguise,,,,,,[],https://twitter.com/nobbycollection/status/1356908526619213831
GOODLIFE,@nobbycollection,2021-02-16T22:36:08.000Z,. .oml,,,,,,[],https://twitter.com/nobbycollection/status/1361806597559844867
GOODLIFE,@nobbycollection,2021-02-07T11:00:29.000Z,"Replying to 
@deejayneptune",0022223866 gtb,,,,,[],https://twitter.com/nobbycollection/status/1358370041373294593
GOODLIFE,@nobbycollection,2021-03-13T16:59:01.000Z,Madrid pls na,,,1,,1,[],https://twitter.com/nobbycollection/status/1370781453965914118
GOODLIFE,@nobbycollection,2021-03-07T17:53:31.000Z,"Replying to 
@SavvyRinu
 @TosinAkinyemiju
 and 5 others",My asophagous is been congested rna,,,,,[],https://twitter.com/nobbycollection/status/1368620845036408841
GOODLIFE,@nobbycollection,2021-04-16T14:42:04.000Z,TGIF,,,,,,[],https://twitter.com/nobbycollection/status/1383068176427139072
L O U I E,@LouieDi13,2021-04-28T19:36:40.000Z,Chop life na 1 o! If you like de dull,"0:11
3.1K views",🌊 🦈,28,41,137,[],https://twitter.com/LouieDi13/status/1387490971525468162
GOODLIFE,@nobbycollection,2021-04-28T19:38:45.000Z,Wooow 450k oshey baddest,,,2,,,[],https://twitter.com/nobbycollection/status/1387491494702026752
PATORANKING,@patorankingfire,2021-04-20T20:38:10.000Z,Drop it or not ,,😎,3.5K,8.9K,30.2K,['https://pbs.twimg.com/ext_tw_video_thumb/1384605798429507587/pu/img/WZYwRV5qH6K84Vkh.jpg'],https://twitter.com/patorankingfire/status/1384607343229423618
GOODLIFE,@nobbycollection,2021-04-21T06:50:53.000Z,Drop it like it red hooooot ,,🔥,,,,[],https://twitter.com/nobbycollection/status/1384761540558086144
Converts Bookies,@ConvertsB,2021-04-20T15:45:13.000Z,37k odds  if I be you I go flex am,,💥 💥,17,35,119,['https://pbs.twimg.com/media/EzbZ3TiXIAAB-XI?format=jpg&name=medium'],https://twitter.com/ConvertsB/status/1384533620803653632
L O U I E,@LouieDi13,2021-04-28T19:36:40.000Z,Chop life na 1 o! If you like de dull,"3.1K views
0:03 / 0:12",🌊 🦈,28,41,137,[],https://twitter.com/LouieDi13/status/1387490971525468162
