UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mischievous Papi,@MischievousPapi,2021-01-12T06:25:36.000Z,Dark Knight and King of many kingdoms.,"The following media includes potentially sensitive content. Change settings
View",,,,1,['https://pbs.twimg.com/media/ErguGdzW4AUvy4b?format=jpg&name=900x900'],https://twitter.com/MischievousPapi/status/1348878779561746432
Mischievous Papi,@MischievousPapi,2021-01-12T05:09:14.000Z,,"GOT.DASCOOP
@GotDaScoop
 · Nov 30, 2020
Replying to @PINKKY_BOO @cyti914 and 5 others",🖤 💜 💔 💙 ♥ 😬 😳 🙄 🤔 ✨ ✨ ❤ ❤ ❤,,,,['https://pbs.twimg.com/profile_images/1416437036886728705/4bTUdc49_mini.jpg'],https://twitter.com/MischievousPapi/status/1348859559742418944
Texas 9/10-9/13 Bella BBW,@BonitaBellzz,2020-12-20T23:39:50.000Z,"Replying to 
@MischievousPapi",,🍫 🤫 🤫 🤫,1,4,1,[],https://twitter.com/BonitaBellzz/status/1340804129342558208
Mischievous Papi,@MischievousPapi,2021-01-12T05:04:40.000Z,,,😬 😳 🙄 🤔 😁 😇 😈 😼 😻 😽 🤑 😜 😋 🤤,,2,1,[],https://twitter.com/MischievousPapi/status/1348858412591943680
The Don,@Therealdominiqu,2020-12-26T11:52:18.000Z,"Replying to 
@y4ckyyy
 @PINKKY_BOO
 and 6 others",,❤ ❤ ❤ ❤,1,5,4,[],https://twitter.com/Therealdominiqu/status/1342800402945880064
Mischievous Papi,@MischievousPapi,2021-01-12T05:06:30.000Z,,,💙 💔 💜 🖤 ♦ ♣ ♥ ♠ 🃏 🎃 💀,,,2,[],https://twitter.com/MischievousPapi/status/1348858871566266368
Mischievous Papi,@MischievousPapi,2021-03-01T12:00:31.000Z,DIPPD N REDD FUCKED BY DOC - http://XVIDEOS.COM -,"The following media includes potentially sensitive content. Change settings
View",,,1,1,[],https://twitter.com/MischievousPapi/status/1366357680365920258
Mischievous Papi,@MischievousPapi,2021-03-01T11:52:58.000Z,Bbw brat sucking on daddy,"BBW Brat Sucking on Daddy, Free Free Sucking HD Porn 3d | xHamster
Watch BBW Brat Sucking on Daddy video on xHamster, the biggest HD sex tube site with tons of free Free Sucking BBW Tnaflix & Redtube porn movies!
xhamster2.com",,,1,1,[],https://twitter.com/MischievousPapi/status/1366355782669914113
Mischievous Papi,@MischievousPapi,2021-03-01T12:16:15.000Z,7 to 12 is what I  in a Nubian Queen .,"MyName is Woo
@ffnwoo_
 · Feb 28
Ladies, Which one u is? Niggas, which one u like?",💘 🐝,,1,1,"['https://pbs.twimg.com/profile_images/1408996713159958534/_ouyIrR0_mini.jpg', 'https://pbs.twimg.com/media/EvSJacyWYAc3DtS?format=jpg&name=small']",https://twitter.com/MischievousPapi/status/1366361641630203906
Mischievous Papi,@MischievousPapi,2021-02-27T00:03:27.000Z,"Replying to 
@theyluvvleila",Only if you're gonna be calling me Daddy.,,1,2,2,['https://pbs.twimg.com/media/EvMPxDCXMAUY9y3?format=jpg&name=360x360'],https://twitter.com/MischievousPapi/status/1365452450065440772
Mischievous Papi,@MischievousPapi,2021-02-28T07:18:23.000Z,You said He'd FUCKING your best friend with a BBW Nubian Queen  like yourself as his wife because of your 9 yrs together he's a dumb MF. Let a sweet good old white dude like myself be your Daddy who's going to spoil you and eat you as your watching  all  to  8 days a week,"JUICY’QUAISHA
@CHOCOLATE_DRIP8
 · Feb 28
why is it so hard to just forget MF... 9yrs of my life i gave and still got cheated!! SHIT STILL HURT.. LIKE I CNT BELIEVE HE FUCKED MY BESTFRIEND!!!",🐝 📺 🌅 🌃 💜 💜 💦 🙊 🙈,,1,2,['https://pbs.twimg.com/profile_images/1328261614747983879/vpb33R4i_mini.jpg'],https://twitter.com/MischievousPapi/status/1365924291892625411
Mischievous Papi,@MischievousPapi,2021-02-28T02:34:35.000Z,"Obviously there's nothing better than indulging in my favourite #EasterEggs from 
@BeaconTreats
! What do you love about Easter? TAP BELOWto let us know! #BeaconEaster","Tweet #EasterEggs
Tweet #EasterHunt
Tweet #HotCrossBuns",👇,,1,1,['https://pbs.twimg.com/ad_img/1362051382933618691/KjH6F6vl?format=png&name=small'],https://twitter.com/MischievousPapi/status/1365852871762313216
Mischievous Papi,@MischievousPapi,2021-02-27T19:30:07.000Z,"Replying to 
@MischievousPapi",,,,,,['https://pbs.twimg.com/media/EvQTAIoWQAIdLMv?format=jpg&name=small'],https://twitter.com/MischievousPapi/status/1365746051899158528
Mischievous Papi,@MischievousPapi,2021-02-28T07:07:57.000Z,"Replying to 
@MischievousPapi
 and 
@theyluvvleila",,,,,,['https://pbs.twimg.com/media/EvS6hGTXUAEYFqK?format=jpg&name=360x360'],https://twitter.com/MischievousPapi/status/1365921666908487681
Mischievous Papi,@MischievousPapi,2021-03-01T07:42:27.000Z,"Replying to 
@WhorishBitch",,,,4,2,['https://pbs.twimg.com/media/EvYL_98XYAAcbRw?format=jpg&name=small'],https://twitter.com/MischievousPapi/status/1366292737499271170
ⓟⓘⓝⓚⓨ ⓑⓞⓞ,@PINKKY_BOO,2020-09-04T06:11:12.000Z,"#GOFOLLOW
              
@coke_dir
@RalphWa05682198
@Ieatasssometime
@xnij13
@Shaalaarose
@shestooboujeee
@TRU__DEE
@NiyiahDaG
@SuaceyS
@sammiaforyou
@rvnge141
@santoniotk
@Shivams71057759
@RichkardMetell2
@cancermoon21
@MischievousPapi",,💋 💋 🔥 🔥 ↘ ↙ 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥,3,8,11,[],https://twitter.com/PINKKY_BOO/status/1301764733477871618
Mischievous Papi,@MischievousPapi,2021-03-01T12:19:44.000Z,,"The following media includes potentially sensitive content. Change settings
View",,,1,2,[],https://twitter.com/MischievousPapi/status/1366362517820366850
Mischievous Papi,@MischievousPapi,2021-03-26T09:08:06.000Z,Daddy's black magic girl is a foodie whorish bitch.,"Mischievous Papi
@MischievousPapi
 · Mar 15
GIF
 Show this thread",🥵 🔥 🍫 🍦 🥧,,1,1,"['https://pbs.twimg.com/media/ExZPWjqXEAIJU19?format=jpg&name=240x240', 'https://pbs.twimg.com/profile_images/1295653798833201152/4DaJz7n9_mini.jpg', 'https://pbs.twimg.com/tweet_video_thumb/EwhRxe8WQAA5qjM?format=jpg&name=240x240']",https://twitter.com/MischievousPapi/status/1375373986570383360
Mischievous Papi,@MischievousPapi,2021-03-31T23:20:34.000Z,Needing an A & D sweet chubby hot chocolate sexy bitch who's a Nubian Queen .,"Mz.Neiecey The Lady Lion
@MzLadyLion
 · Mar 31
A and D...depending on my mood",🐝,,,,"['https://pbs.twimg.com/profile_images/1430421486570024961/Xuz8sa-i_mini.jpg', 'https://pbs.twimg.com/media/Ex1gpVHWUAA2MKA?format=jpg&name=small']",https://twitter.com/MischievousPapi/status/1377400457983852547
Mischievous Papi,@MischievousPapi,2021-03-26T08:46:16.000Z,,"Mischievous Papi
@MischievousPapi
 · Mar 15
GIF
 Show this thread",🥵 🔥 🍫 🍦 🥧,,1,1,"['https://pbs.twimg.com/media/ExZKUamWUAMA7hR?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1295653798833201152/4DaJz7n9_mini.jpg', 'https://pbs.twimg.com/tweet_video_thumb/EwhRxe8WQAA5qjM?format=jpg&name=240x240']",https://twitter.com/MischievousPapi/status/1375368491897872384
Mischievous Papi,@MischievousPapi,2021-03-26T09:04:42.000Z,,"Mischievous Papi
@MischievousPapi
 · Mar 15
GIF
 Show this thread",🥵 🔥 🍫 🍦 🥧,,1,1,"['https://pbs.twimg.com/media/ExZOkqvWgAA7HTN?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1295653798833201152/4DaJz7n9_mini.jpg', 'https://pbs.twimg.com/tweet_video_thumb/EwhRxe8WQAA5qjM?format=jpg&name=240x240']",https://twitter.com/MischievousPapi/status/1375373130416451584
Mischievous Papi,@MischievousPapi,2021-03-26T09:09:27.000Z,,"Mischievous Papi
@MischievousPapi
 · Mar 15
GIF
 Show this thread",🥵 🔥 🍫 🍦 🥧,,1,1,"['https://pbs.twimg.com/media/ExZPqX9WgAMGPGW?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1295653798833201152/4DaJz7n9_mini.jpg', 'https://pbs.twimg.com/tweet_video_thumb/EwhRxe8WQAA5qjM?format=jpg&name=240x240']",https://twitter.com/MischievousPapi/status/1375374327386886147
Mischievous Papi,@MischievousPapi,2021-03-26T09:10:00.000Z,,"Mischievous Papi
@MischievousPapi
 · Mar 15
GIF
 Show this thread",🥵 🔥 🍫 🍦 🥧,,1,1,"['https://pbs.twimg.com/media/ExZPygIWUAI9yYs?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1295653798833201152/4DaJz7n9_mini.jpg', 'https://pbs.twimg.com/tweet_video_thumb/EwhRxe8WQAA5qjM?format=jpg&name=240x240']",https://twitter.com/MischievousPapi/status/1375374467094999048
Mischievous Papi,@MischievousPapi,2021-03-26T09:11:18.000Z,,"The following media includes potentially sensitive content. Change settings
View
The following media includes potentially sensitive content. Change settings
View",,,1,1,[],https://twitter.com/MischievousPapi/status/1375374793483116547
Mischievous Papi,@MischievousPapi,2021-03-26T09:11:01.000Z,,"The following media includes potentially sensitive content. Change settings
View
The following media includes potentially sensitive content. Change settings
View",,,1,1,[],https://twitter.com/MischievousPapi/status/1375374721785720833
Mischievous Papi,@MischievousPapi,2021-04-14T22:28:32.000Z,Fucking MILF Ms Vaughn - http://XVIDEOS.COM -,"Fucking MILF Ms Vaughn
xvideos.com",,,,,[],https://twitter.com/MischievousPapi/status/1382460790716964866
Mischievous Papi,@MischievousPapi,2021-04-14T19:09:08.000Z,Okay doing that now ...,"Londynn Vega
@LondynnVega
 · Apr 14
I can get wetter ",🍯 💦 🤫,,,,"['https://pbs.twimg.com/profile_images/1398992474916495361/yPcpmO6v_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1382376740098617344/pu/img/YZJ3nC2kiNLg-0nb.jpg']",https://twitter.com/MischievousPapi/status/1382410613008306177
Mischievous Papi,@MischievousPapi,2021-04-25T22:27:26.000Z,Big booty ebony bbw gets fucked in public for the first time - http://XVIDEOS.COM -,"Big booty ebony bbw gets fucked in public for the first time
xvideos.com",,,,,[],https://twitter.com/MischievousPapi/status/1386446781949620227
Mischievous Papi,@MischievousPapi,2021-04-14T19:08:54.000Z,"Hello, hey Lil Ma'am has Snow's bitch mommy been hurting ya?","Londynn Vega
@LondynnVega
 · Apr 14
I can get wetter ",💦 🤫,,,,"['https://pbs.twimg.com/profile_images/1398992474916495361/yPcpmO6v_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1382376740098617344/pu/img/YZJ3nC2kiNLg-0nb.jpg']",https://twitter.com/MischievousPapi/status/1382410554359349251
zaddy jo .,@jojo_amari2,2021-04-14T14:25:08.000Z,Me and my friends dressed up like old ladies and went bar hoppin ,,😭 😂,799,24.1K,137.1K,['https://pbs.twimg.com/media/Ey8OH1tWgAguPep?format=jpg&name=small'],https://twitter.com/jojo_amari2/status/1382339142055510023
Mischievous Papi,@MischievousPapi,2021-04-08T01:26:12.000Z,"Replying to 
@mynamesireanna",,,,,,['https://pbs.twimg.com/tweet_video_thumb/EyaiCWoWEAEZY1s.jpg'],https://twitter.com/MischievousPapi/status/1379968787068432384
Mischievous Papi,@MischievousPapi,2021-04-08T07:07:05.000Z,"Replying to 
@mynamesireanna",,,,,,['https://pbs.twimg.com/media/EybwUr0WQAEQ3dm?format=jpg&name=small'],https://twitter.com/MischievousPapi/status/1380054575726665730
